#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
81,Eamon Kelly,,,,"3FGM, Assist",Make 3 Pts,00:00:10.4,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,4:52,"Eamon Kelly, John Kairouz",Handoff,5 Eamon Kelly > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
82,Sean Wilcox,,,,"2FGM, Assist",Make 2 Pts,00:00:22.3,,,Bard College,Bar@SLC,11/08/2024,1,4:29,"Jalen Umstead, Sean Wilcox","P&R BH, Cut",15 Laz Panagiotounis > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 31 Sean Wilcox > Cut > Basket > Make 2 Pts
83,Eamon Kelly,,,,"2FGM, Assist",Make 2 Pts,00:00:23.9,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,4:03,"Eamon Kelly, John Kairouz",P&R BH,5 Eamon Kelly > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
84,Sean Wilcox,,,,Foul,Foul,00:00:16.9,,,Bard College,Bar@SLC,11/08/2024,1,3:46,"Aiden Morel, Sean Wilcox",Cut,31 Sean Wilcox > Cut > Basket > Foul
85,Sean Wilcox,,,,FTm,Free Throw,00:00:07.9,,,Bard College,Bar@SLC,11/08/2024,1,,Sean Wilcox,,31 Sean Wilcox > Non Possession > Free Throw
86,Sean Wilcox,,,,FTM,Free Throw,00:00:08.5,,,Bard College,Bar@SLC,11/08/2024,1,,Sean Wilcox,,31 Sean Wilcox > Non Possession > Free Throw
87,Braden Burman,,,,2FGM,Make 2 Pts,00:00:13.8,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,3:30,Braden Burman,Cut,12 Braden Burman > Cut > Basket > Make 2 Pts
88,Sean Wilcox,,,,,Kicked Ball,00:00:12.4,,,Bard College,Bar@SLC,11/08/2024,1,,Sean Wilcox,,31 Sean Wilcox > Non Possession > Kicked Ball
89,Jalen Umstead,,,,Foul,Foul,00:00:19.6,,,Bard College,Bar@SLC,11/08/2024,1,3:07,"John Kairouz, Jalen Umstead",Spot Up,33 Jalen Umstead > Spot-Up > Drives Right > Foul
90,Jalen Umstead,,,,FTM,Free Throw,00:00:07.7,,,Bard College,Bar@SLC,11/08/2024,1,,Jalen Umstead,,33 Jalen Umstead > Non Possession > Free Throw
91,Jalen Umstead,,,,FTM,Free Throw,00:00:07.3,,,Bard College,Bar@SLC,11/08/2024,1,,Jalen Umstead,,33 Jalen Umstead > Non Possession > Free Throw
92,Andrew Kim,,,,3FGM,Make 3 Pts,00:00:08.5,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,2:57,Andrew Kim,P&R BH,2 Andrew Kim > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
93,Sean Wilcox,,,,,No Violation,00:00:23.0,,,Bard College,Bar@SLC,11/08/2024,1,,Sean Wilcox,,31 Sean Wilcox > Non Possession > No Violation
94,Laz Panagiotounis,,,,3FGm,Miss 3 Pts,00:00:12.1,,,Bard College,Bar@SLC,11/08/2024,1,2:30,Laz Panagiotounis,Spot Up,15 Laz Panagiotounis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
95,Azriel Almodovar,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:27.4,,,Bard College,Bar@SLC,11/08/2024,1,2:07,"Azriel Almodovar, Eamon Kelly",Spot Up,4 Azriel Almodovar > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts
96,Braden Burman,,,,2FGm,Miss 2 Pts,00:00:29.1,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,1:44,Braden Burman,Handoff,12 Braden Burman > Hand Off > From Dribble > Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
97,Braden Burman,,,,,Miss 2 Pts,00:00:06.2,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Braden Burman,,12 Braden Burman > Offensive Rebound > Long > Scoring Attempt > Medium/17' to <3pt > Miss 2 Pts
98,Eamon Kelly,,,,Off Reb,Run Offense,00:00:11.7,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Eamon Kelly,Off Reb,5 Eamon Kelly > Offensive Rebound > Long > Run Offense
99,Eamon Kelly,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:16.9,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,1:35,"Eamon Kelly, Sean Wilcox",Spot Up,5 Eamon Kelly > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
100,Sean Wilcox,,,,Foul,Foul,00:00:09.4,,,,Bar@SLC,11/08/2024,1,1:31,Braden Burman,,31 Sean Wilcox > No Play Type > Foul
101,Sean Wilcox,,,,FTM,Free Throw,00:00:07.8,,,Bard College,Bar@SLC,11/08/2024,1,,Sean Wilcox,,31 Sean Wilcox > Non Possession > Free Throw
