Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
VC,RIT,Vassar Brewers,2pMa,To Basket,Nathan Denham,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,PNR,Left,Off,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,JP Miranda,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,Dribble Jumper,Shea Fitzgerald,Iso,Top,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,No Dribble Jumper,Shea Fitzgerald,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,Iso,Right,N/A,Avery Lee,Spot Ups,N/A,Shot
VC,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Brody Brown,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,JP Miranda,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Turnover,To Basket,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,JP Miranda,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,PNR,Right,Off,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,JP Miranda,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,Sebastian Medina,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Brock Bowen,PNR,High,Off,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,Avery Lee,PNR,High,Off,Shea Fitzgerald,Spot Ups,Left,Drive
VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,Iso,Left,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,Sebastian Medina,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,Shea Fitzgerald,PNR,High,Away,Avery Lee,Spot Ups,Right,Drive
VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Matt Caggiano,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,JP Miranda,PNR,High,Off,Logan Scott,P&R Roll Man,N/A,Roll
VC,RIT,Vassar Brewers,Turnover,N/A,JP Miranda,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Matt Caggiano,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,Shea Fitzgerald,PNR,High,Off,JP Miranda,Spot Ups,Right,Drive
